 Morbidade Hospitalar do SUS - por local de residência - Brasil
Internações por Município e Ano processamento
Capítulo CID-10: V.   Transtornos mentais e comportamentais
Período:Jan/2008-Set/2025
"Município";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"Total"
"412600 SAO SEBASTIAO DA AMOREIRA";21;9;8;10;8;8;27;16;14;22;14;13;16;10;22;17;30;18;283
"412610 SAO TOME";19;16;12;7;11;5;13;9;6;1;8;5;9;4;6;7;6;4;148
"412620 SAPOPEMA";5;9;9;8;12;16;10;12;7;5;4;4;11;13;15;11;9;17;177
"412625 SARANDI";349;257;294;270;246;268;330;432;322;212;189;198;200;146;163;116;111;70;4173
"412627 SAUDADE DO IGUACU";12;12;18;22;12;14;19;15;18;13;10;18;17;6;4;2;5;5;222
"412630 SENGES";25;16;24;21;20;32;29;16;24;24;26;25;4;22;23;21;19;11;382
"412635 SERRANOPOLIS DO IGUACU";8;4;4;6;3;-;1;1;1;1;2;6;1;1;1;1;4;6;51
"412640 SERTANEJA";30;19;5;14;20;14;10;7;3;5;4;5;6;10;8;18;16;9;203
"412650 SERTANOPOLIS";33;25;38;31;44;36;44;20;13;23;22;35;39;53;35;48;58;37;634
"412660 SIQUEIRA CAMPOS";38;24;35;42;32;23;30;32;35;28;23;21;8;19;45;54;50;33;572
"412665 SULINA";9;7;5;7;4;9;6;4;2;1;-;2;9;2;1;-;4;4;76
"412667 TAMARANA";30;23;19;34;26;19;26;13;9;13;9;20;24;46;24;33;30;24;422
"412670 TAMBOARA";12;9;17;13;15;7;6;6;7;8;9;27;12;8;12;11;7;20;206
"412680 TAPEJARA";24;35;28;27;11;13;11;39;21;25;28;33;32;42;35;36;39;20;499
"412690 TAPIRA";28;19;21;28;37;19;22;7;6;12;20;7;11;5;2;7;5;15;271
"412700 TEIXEIRA SOARES";23;32;19;16;13;3;6;3;14;9;6;13;14;13;13;38;25;16;276
"412710 TELEMACO BORBA";103;116;106;88;95;78;79;77;83;95;107;76;78;74;65;85;82;65;1552
"412720 TERRA BOA";18;18;27;28;36;38;32;51;37;8;34;48;7;20;52;27;19;5;505
"412730 TERRA RICA";33;35;40;35;28;27;34;30;27;33;26;25;11;16;30;25;30;11;496
"412740 TERRA ROXA";42;23;29;27;17;19;18;14;19;12;16;15;19;24;23;13;8;9;347
"412750 TIBAGI";24;21;16;11;22;36;24;25;30;40;51;56;61;65;62;45;48;27;664
"412760 TIJUCAS DO SUL";23;14;15;23;13;16;22;18;13;12;24;25;13;18;40;40;38;17;384
"412770 TOLEDO";210;189;186;175;101;86;115;69;93;109;113;104;102;59;85;116;126;94;2132
"412780 TOMAZINA";17;19;5;10;10;8;10;7;16;16;19;19;13;4;10;15;10;5;213
"412785 TRES BARRAS DO PARANA";19;20;28;17;16;9;11;12;14;13;11;13;6;13;17;23;13;15;270
"412788 TUNAS DO PARANA";12;11;17;16;9;14;17;10;8;8;7;10;7;7;10;4;3;3;173
"412790 TUNEIRAS DO OESTE";20;21;19;20;22;9;12;6;13;21;36;19;19;13;20;28;16;19;333
"412795 TUPASSI";22;14;6;5;15;5;3;8;8;12;6;9;1;2;1;4;4;3;128
"412796 TURVO";30;31;47;40;46;49;51;27;25;23;18;18;19;22;24;24;36;26;556
"412800 UBIRATA";49;38;25;20;11;17;26;24;32;45;10;21;3;11;34;40;103;83;592
"412810 UMUARAMA";464;399;347;359;386;344;352;296;276;254;291;283;237;257;303;246;241;180;5515
"412820 UNIAO DA VITORIA";195;155;210;120;131;121;92;55;85;100;131;206;145;161;166;139;89;34;2335
"412830 UNIFLOR";9;19;13;9;11;8;9;6;9;2;11;10;1;10;22;12;6;13;180
"412840 URAI";30;30;21;20;19;16;13;11;5;8;11;3;10;15;14;61;78;45;410
"412850 WENCESLAU BRAZ";43;24;26;30;19;20;17;24;22;31;35;39;35;26;23;23;16;29;482
"412853 VENTANIA";20;19;17;21;23;17;25;14;12;26;32;26;13;15;11;13;12;7;323
"412855 VERA CRUZ DO OESTE";23;13;8;11;5;5;9;10;6;10;10;11;10;9;6;6;6;6;164
"412860 VERE";11;16;18;11;7;6;14;5;6;5;7;2;5;1;5;2;4;2;127
"412862 ALTO PARAISO";18;9;5;8;10;15;14;6;5;5;6;4;2;1;8;6;4;3;129
"412863 DOUTOR ULYSSES";7;5;5;5;3;5;5;8;3;2;5;3;3;2;6;3;6;5;81
"412865 VIRMOND";14;13;15;19;25;12;10;5;2;5;2;1;3;4;6;8;1;2;147
"412870 VITORINO";9;11;15;8;8;5;-;2;2;4;6;7;4;11;16;8;15;15;146
"412880 XAMBRE";43;34;28;33;30;37;40;34;28;32;28;18;9;14;14;13;12;12;459
"420005 ABDON BATISTA";15;12;5;2;4;7;9;9;11;1;4;1;4;4;8;7;9;4;116
"420010 ABELARDO LUZ";26;20;16;24;31;29;32;15;20;20;19;62;45;39;54;64;37;58;611
"420020 AGROLANDIA";20;20;8;12;15;13;17;14;13;20;9;11;8;20;23;31;56;47;357
"420030 AGRONOMICA";10;20;19;20;15;20;19;15;30;22;16;17;29;13;21;9;23;21;339
"420040 AGUA DOCE";18;18;6;21;37;31;55;60;78;50;49;34;35;20;23;15;13;13;576
"420050 AGUAS DE CHAPECO";5;4;9;6;6;11;9;13;8;10;10;7;9;4;12;17;11;9;160
"420055 AGUAS FRIAS";3;8;8;8;9;11;9;6;7;10;1;2;-;4;5;3;2;6;102
"420060 AGUAS MORNAS";13;7;18;9;21;15;14;19;15;17;18;14;8;9;16;7;7;14;241
"420070 ALFREDO WAGNER";25;14;28;32;26;32;22;15;23;22;12;15;8;3;20;14;17;6;334
"420075 ALTO BELA VISTA";9;-;11;10;3;5;3;6;12;10;4;3;5;3;4;6;2;-;96
"420080 ANCHIETA";17;11;17;14;12;17;18;18;18;13;16;29;12;19;19;13;9;12;284
"420090 ANGELINA";8;14;5;8;5;6;9;6;9;8;11;13;20;7;12;5;12;9;167
"420100 ANITA GARIBALDI";42;19;25;12;21;21;4;13;6;2;2;12;13;4;6;15;24;20;261
"420110 ANITAPOLIS";4;10;8;6;9;3;10;14;4;1;4;4;1;7;7;10;8;7;117
"420120 ANTONIO CARLOS";16;15;15;10;15;8;14;19;10;14;16;13;9;17;12;12;20;18;253
"420125 APIUNA";19;28;19;31;38;35;23;21;18;17;17;27;31;28;24;45;44;35;500
"420127 ARABUTA";5;7;4;10;10;24;21;22;38;25;26;14;1;9;12;13;8;5;254
"420130 ARAQUARI";21;12;9;9;17;25;17;14;31;22;31;25;24;35;42;45;68;56;503
"420140 ARARANGUA";129;127;122;112;105;67;80;55;70;83;64;82;64;98;99;156;211;137;1861
"420150 ARMAZEM";10;13;5;9;12;13;10;12;8;11;5;5;5;14;9;20;49;26;236
"420160 ARROIO TRINTA";6;3;3;5;7;12;16;18;48;54;37;7;8;10;9;17;21;14;295
"420165 ARVOREDO";1;1;3;2;2;10;2;2;8;3;3;4;13;6;3;-;2;3;68
"420170 ASCURRA";13;19;21;23;27;24;8;10;16;15;13;27;18;12;16;19;43;34;358
"420180 ATALANTA";14;9;11;5;12;7;8;12;9;8;10;10;6;8;9;4;9;16;167
"420190 AURORA";11;7;14;12;6;4;2;5;12;4;5;11;7;4;3;15;10;12;144
"420195 BALNEARIO ARROIO DO SILVA";25;31;34;18;19;26;18;19;13;16;30;20;21;26;32;38;59;58;503
"420200 BALNEARIO CAMBORIU";85;49;62;59;54;66;68;46;62;61;62;96;84;100;82;110;125;105;1376
"420205 BALNEARIO BARRA DO SUL";7;4;10;2;-;3;2;10;7;9;14;14;11;5;13;12;18;14;155
"420207 BALNEARIO GAIVOTA";28;21;27;27;37;57;42;23;20;34;33;36;25;38;71;84;35;51;689
"420208 BANDEIRANTE";15;8;8;6;5;7;11;7;10;9;13;20;18;17;13;11;6;10;194
"420209 BARRA BONITA";8;-;1;8;6;5;7;4;-;8;5;1;2;5;5;3;7;8;83
"420210 BARRA VELHA";19;14;16;17;16;22;30;18;25;26;23;42;37;21;47;38;43;28;482
"420213 BELA VISTA DO TOLDO";15;13;6;16;22;7;6;17;15;21;15;5;-;5;8;12;4;5;192
"420215 BELMONTE";3;3;5;7;4;2;12;7;13;15;13;11;12;10;9;15;12;6;159
"420220 BENEDITO NOVO";5;6;7;11;10;2;8;4;12;15;16;18;12;8;31;28;42;25;260
"420230 BIGUACU";153;152;175;189;173;157;152;156;214;167;172;191;187;173;196;240;262;179;3288
"420240 BLUMENAU";137;137;124;256;224;214;192;516;832;907;975;971;701;912;1246;1263;1261;1026;11894
"420243 BOCAINA DO SUL";20;24;19;34;27;31;18;10;11;5;6;1;1;4;2;3;8;4;228
"420245 BOMBINHAS";10;9;7;8;8;11;6;10;15;11;29;19;24;19;32;27;20;16;281
"420250 BOM JARDIM DA SERRA";22;18;8;22;24;25;11;16;10;9;8;6;2;6;8;5;18;18;236
"420253 BOM JESUS";5;4;3;4;7;5;6;4;3;7;8;1;4;5;2;9;6;3;86
"420257 BOM JESUS DO OESTE";3;3;2;2;7;1;4;3;-;1;1;-;1;-;2;2;2;1;35
"420260 BOM RETIRO";32;26;58;45;54;61;25;14;10;5;4;6;6;24;8;21;92;83;574
"420270 BOTUVERA";2;1;-;4;-;3;4;-;10;3;5;10;9;5;16;13;13;15;113
"420280 BRACO DO NORTE";54;71;55;60;58;89;68;60;46;51;43;53;90;76;63;96;140;70;1243
"420285 BRACO DO TROMBUDO";7;5;8;5;6;5;4;2;2;12;1;3;10;11;10;15;11;12;129
"420287 BRUNOPOLIS";25;26;22;13;9;20;11;22;25;36;24;28;18;7;19;19;17;8;349
"420290 BRUSQUE";71;61;87;105;107;76;80;175;215;186;232;257;213;268;377;515;467;414;3906
"420300 CACADOR";136;148;135;145;198;203;176;197;233;233;248;257;155;247;227;309;313;232;3792
"420310 CAIBI";18;9;15;11;14;21;27;19;19;14;13;11;12;25;23;41;33;25;350
"420315 CALMON";7;5;6;5;6;5;4;-;1;9;3;3;1;2;1;6;8;4;76
"420320 CAMBORIU";49;40;31;27;21;27;30;47;48;54;42;49;51;56;64;94;88;93;911
"420325 CAPAO ALTO";20;9;10;16;8;10;10;9;6;2;3;2;-;-;8;8;27;17;165
"420330 CAMPO ALEGRE";12;16;11;15;26;21;26;32;34;25;16;9;4;5;12;8;8;16;296
"420340 CAMPO BELO DO SUL";26;19;16;30;28;27;28;22;26;13;12;9;9;9;16;10;38;33;371
"420350 CAMPO ERE";20;3;13;15;13;15;21;20;21;13;13;13;13;16;25;45;45;35;359
"420360 CAMPOS NOVOS";56;74;77;101;121;94;64;73;73;104;111;103;80;115;156;114;176;145;1837
"420370 CANELINHA";18;6;10;9;13;6;11;10;9;14;20;16;12;18;18;24;31;15;260
"420380 CANOINHAS";22;36;25;42;49;64;87;93;132;135;126;59;50;58;94;71;38;43;1224
"420390 CAPINZAL";123;105;95;111;93;141;95;85;70;103;103;77;76;28;82;47;36;37;1507
"420395 CAPIVARI DE BAIXO";54;48;75;87;82;68;86;79;86;71;76;88;57;94;104;102;113;69;1439
"420400 CATANDUVAS";27;46;38;48;51;51;68;39;42;36;38;24;30;24;18;33;29;31;673
"420410 CAXAMBU DO SUL";8;12;7;8;8;9;10;9;12;8;16;13;22;9;9;18;9;11;198
"420415 CELSO RAMOS";11;8;9;11;9;8;2;10;8;9;18;6;4;2;5;4;7;2;133
"420417 CERRO NEGRO";8;5;3;8;3;3;5;3;3;2;1;-;1;-;1;2;11;16;75
"420419 CHAPADAO DO LAGEADO";4;3;6;-;1;7;5;8;2;9;2;2;1;-;13;22;15;10;110
"420420 CHAPECO";179;193;188;153;178;198;156;136;128;118;180;204;165;245;301;522;589;520;4353
"420425 COCAL DO SUL";54;65;45;54;63;65;57;51;51;56;62;39;24;27;49;44;37;40;883
"420430 CONCORDIA";395;396;327;313;313;305;273;279;266;288;267;329;296;198;296;134;116;94;4885
"420435 CORDILHEIRA ALTA";1;9;3;6;8;12;9;4;11;11;4;4;7;5;7;11;10;7;129
"420440 CORONEL FREITAS";13;17;20;22;21;19;19;28;17;13;14;23;17;22;13;30;34;7;349
"420445 CORONEL MARTINS";7;1;8;9;12;11;11;6;6;4;7;9;4;10;7;11;5;5;133
"420450 CORUPA";21;14;10;8;11;12;6;21;18;8;8;10;4;4;9;4;9;10;187
"420455 CORREIA PINTO";68;87;94;119;98;100;60;51;60;24;30;28;34;29;44;76;87;43;1132
"420460 CRICIUMA";655;633;535;542;485;370;362;217;186;302;310;276;124;96;121;151;207;215;5787
"420470 CUNHA PORA";22;18;28;22;28;28;22;62;46;40;32;16;12;23;34;59;56;36;584
"420475 CUNHATAI";3;5;-;2;-;2;5;2;1;2;1;2;6;14;6;2;1;-;54
"420480 CURITIBANOS";174;172;170;190;178;195;277;211;236;263;269;282;211;198;199;234;349;259;4067
"420490 DESCANSO";17;19;18;24;22;36;22;21;15;37;28;35;41;44;20;49;46;29;523
"420500 DIONISIO CERQUEIRA";20;19;16;17;23;29;29;26;11;25;15;11;7;8;12;21;16;26;331
"420510 DONA EMMA";8;8;5;2;9;12;5;7;3;2;4;19;20;10;14;22;17;9;176
"420515 DOUTOR PEDRINHO";1;9;5;2;5;3;2;3;5;3;5;6;3;5;10;13;15;12;107
"420517 ENTRE RIOS";3;6;4;1;2;3;10;4;8;2;5;7;3;7;5;16;8;5;99
"420519 ERMO";7;6;3;6;2;1;-;2;5;2;2;6;4;1;2;3;7;7;66
"420520 ERVAL VELHO";35;32;38;41;44;53;55;71;55;40;37;25;13;15;17;13;27;6;617
"420530 FAXINAL DOS GUEDES";6;5;15;27;7;37;41;42;19;21;13;9;6;16;12;24;24;22;346
"420535 FLOR DO SERTAO";5;8;6;5;5;4;6;4;5;4;3;3;4;13;10;4;8;5;102
"420540 FLORIANOPOLIS";988;733;808;861;837;761;807;906;964;966;935;1098;915;903;1063;1224;1209;831;16809
"420543 FORMOSA DO SUL";5;8;8;8;3;3;8;6;1;2;2;4;9;8;22;11;5;3;116
"420545 FORQUILHINHA";82;78;68;74;65;48;52;34;21;29;14;13;15;15;21;31;31;27;718
"420550 FRAIBURGO";73;52;92;105;89;96;126;97;74;76;97;74;99;64;72;132;133;102;1653
"420555 FREI ROGERIO";9;7;6;8;7;5;8;28;8;14;16;8;6;6;4;6;3;-;149
"420560 GALVAO";11;4;4;8;6;6;8;4;-;5;7;4;4;6;9;10;13;11;120
"420570 GAROPABA";25;36;52;45;51;32;35;38;37;26;31;25;31;42;28;45;48;38;665
"420580 GARUVA";9;8;15;1;6;11;5;4;14;14;11;12;15;13;17;17;32;28;232
"420590 GASPAR";16;4;44;29;33;29;29;22;29;38;41;42;52;77;92;167;115;91;950
"420600 GOVERNADOR CELSO RAMOS";23;30;22;34;20;21;29;26;34;30;32;27;24;27;29;37;37;27;509
"420610 GRAO PARA";24;24;17;21;21;27;33;38;26;19;25;20;19;18;20;20;26;28;426
"420620 GRAVATAL";37;35;33;35;46;33;25;28;23;27;19;24;23;26;30;54;50;38;586
"420630 GUABIRUBA";12;9;16;8;11;8;4;14;16;15;14;30;19;38;46;92;44;59;455
"420640 GUARACIABA";33;13;18;19;14;18;25;20;29;31;37;37;32;33;32;45;51;27;514
"420650 GUARAMIRIM";37;30;31;17;35;36;20;19;30;35;20;23;20;26;40;44;91;198;752
"420660 GUARUJA DO SUL";9;14;12;16;24;21;27;22;29;36;46;38;28;34;36;33;32;15;472
"420665 GUATAMBU";3;8;5;7;7;3;11;-;2;3;8;3;12;6;9;28;8;9;132
"420670 HERVAL D'OESTE";118;162;137;144;165;160;166;202;206;167;125;101;82;70;61;78;136;75;2355
"420675 IBIAM";5;7;6;4;7;4;8;4;1;12;6;6;1;7;5;-;5;4;92
"420680 IBICARE";11;14;17;26;16;29;24;28;20;24;20;15;9;7;16;12;16;12;316
"420690 IBIRAMA";41;28;13;15;24;19;37;43;30;32;50;85;69;91;69;109;103;104;962
"420700 ICARA";177;163;161;150;155;137;151;93;75;121;100;87;63;117;100;172;145;136;2303
"420710 ILHOTA";1;6;1;3;6;6;5;7;1;6;7;9;8;11;13;24;12;4;130
"420720 IMARUI";21;23;22;23;29;31;30;35;29;14;7;11;9;16;28;19;37;17;401
"420730 IMBITUBA";88;65;98;121;105;103;81;96;86;66;56;55;38;80;96;113;140;98;1585
"420740 IMBUIA";11;15;20;20;24;24;15;6;9;9;16;15;12;20;13;27;19;14;289
"420750 INDAIAL";35;12;26;13;23;26;18;12;47;39;32;58;70;142;177;188;250;153;1321
"420757 IOMERE";3;5;8;16;5;11;10;7;5;8;8;4;3;1;-;4;5;2;105
"420760 IPIRA";12;5;11;11;22;13;15;11;15;22;6;5;14;11;5;3;7;7;195
"420765 IPORA DO OESTE";16;11;18;20;20;19;15;31;17;20;31;37;32;28;19;72;49;37;492
"420768 IPUACU";9;8;6;7;7;15;6;5;16;8;11;13;9;15;17;30;34;38;254
"420770 IPUMIRIM";30;22;27;27;28;28;38;26;29;31;23;20;11;16;23;18;41;40;478
"420775 IRACEMINHA";14;3;6;11;10;14;7;8;12;7;12;7;6;14;5;5;3;4;148
"420780 IRANI";28;25;33;47;34;28;62;34;54;45;30;27;15;6;12;6;5;10;501
"420785 IRATI";7;9;11;14;9;10;10;11;11;20;6;9;6;7;6;3;13;12;174
"420790 IRINEOPOLIS";5;4;6;19;15;14;21;38;37;19;17;10;10;9;11;21;4;10;270
"420800 ITA";10;15;16;20;24;13;23;25;25;30;25;13;14;14;17;35;65;64;448
"420810 ITAIOPOLIS";41;34;51;58;56;30;26;30;38;39;58;30;18;10;14;23;24;10;590
"420820 ITAJAI";62;41;51;58;66;69;73;50;72;68;104;114;88;96;103;138;126;100;1479
"420830 ITAPEMA";27;19;33;24;35;25;34;21;47;26;42;44;38;67;61;66;63;49;721
"420840 ITAPIRANGA";29;24;24;29;25;21;21;17;27;19;22;21;20;19;30;41;62;43;494
"420845 ITAPOA";7;17;12;21;14;25;27;40;31;34;33;26;29;38;45;28;39;25;491
"420850 ITUPORANGA";100;86;77;87;56;62;57;56;50;83;50;60;34;55;95;122;144;108;1382
"420860 JABORA";26;18;14;17;16;14;22;20;22;15;14;5;8;6;8;4;8;8;245
"420870 JACINTO MACHADO";26;24;26;22;26;22;21;21;23;17;12;21;31;35;30;36;32;23;448
"420880 JAGUARUNA";39;36;57;67;55;49;42;56;34;33;36;19;22;23;33;47;30;46;724
"420890 JARAGUA DO SUL";173;118;131;176;166;118;93;80;68;60;80;106;87;81;215;269;281;226;2528
"420895 JARDINOPOLIS";3;6;5;5;6;5;6;3;4;3;3;3;-;2;3;5;3;3;68
"420900 JOACABA";112;118;125;153;236;199;257;224;157;168;113;89;130;77;71;86;135;105;2555
"420910 JOINVILLE";548;462;455;416;350;392;362;423;578;584;687;836;694;794;1061;1098;1525;989;12254
"420915 JOSE BOITEUX";7;11;7;9;10;2;3;7;8;3;3;7;8;11;11;13;18;15;153
"420917 JUPIA";6;-;-;1;2;-;2;-;3;7;4;8;11;4;2;15;7;4;76
"420920 LACERDOPOLIS";17;18;17;26;16;19;23;25;17;18;10;4;-;2;1;-;3;4;220
"420930 LAGES";586;549;688;787;780;803;463;401;383;173;232;229;172;223;351;571;853;839;9083
"420940 LAGUNA";162;154;181;205;211;192;171;175;173;146;275;206;168;273;316;360;305;301;3974
"420945 LAJEADO GRANDE";1;2;1;4;5;11;8;12;6;1;2;1;3;12;5;3;2;3;82
"420950 LAURENTINO";29;24;19;18;22;25;14;19;25;23;20;15;15;7;27;22;38;35;397
"420960 LAURO MULLER";43;53;77;106;146;120;105;74;66;65;58;72;50;72;52;38;82;46;1325
"420970 LEBON REGIS";44;33;42;72;75;52;45;40;38;44;37;33;23;17;30;36;31;48;740
"420980 LEOBERTO LEAL";3;9;6;3;15;18;9;15;11;5;2;5;1;2;-;8;9;4;125
"420985 LINDOIA DO SUL";17;19;10;14;16;13;11;36;34;36;23;21;14;33;34;41;32;28;432
"420990 LONTRAS";31;36;23;22;22;28;18;21;27;39;31;63;47;41;36;47;76;71;679
"421000 LUIZ ALVES";3;1;7;4;4;5;4;1;7;2;13;16;9;7;5;5;7;1;101
"421003 LUZERNA";26;35;26;23;30;42;71;43;41;44;35;19;15;4;25;16;36;19;550
"421005 MACIEIRA";5;3;3;7;5;1;4;4;4;2;4;7;4;5;4;4;13;4;83
"421010 MAFRA";46;33;51;61;53;37;45;74;48;53;45;50;45;37;38;34;28;26;804
"421020 MAJOR GERCINO";3;-;-;-;5;3;9;7;8;6;7;2;5;8;4;3;7;5;82
"421030 MAJOR VIEIRA";16;9;12;8;6;18;28;33;24;31;27;14;4;10;22;15;27;20;324
"421040 MARACAJA";22;27;13;20;20;16;28;16;13;24;31;37;18;17;25;19;10;21;377
"421050 MARAVILHA";60;45;33;27;38;37;29;23;28;23;22;32;28;35;58;82;57;50;707
"421055 MAREMA";7;3;3;7;5;7;5;7;12;8;3;3;2;7;4;2;4;12;101
"421060 MASSARANDUBA";12;6;13;12;25;8;7;27;26;26;23;19;15;13;13;16;31;40;332
"421070 MATOS COSTA";-;1;7;-;3;1;-;2;1;2;2;1;1;1;1;6;-;-;29
"421080 MELEIRO";19;17;24;18;26;16;27;10;16;9;13;15;13;7;13;10;15;15;283
"421085 MIRIM DOCE";9;6;5;9;18;6;5;18;9;7;8;3;13;8;14;17;5;2;162
"421090 MODELO";11;4;6;12;17;11;11;10;9;4;4;7;3;9;14;20;8;29;189
"421100 MONDAI";31;11;20;30;27;32;30;55;59;62;58;87;70;52;33;48;77;36;818
"421105 MONTE CARLO";28;30;37;53;47;36;30;28;27;34;46;29;30;14;23;19;26;27;564
"421110 MONTE CASTELO";25;38;29;47;53;68;107;102;123;167;98;28;11;17;12;16;10;15;966
"421120 MORRO DA FUMACA";31;31;32;43;50;40;49;35;34;43;40;36;32;29;38;35;38;25;661
"421125 MORRO GRANDE";5;7;7;3;5;5;3;7;2;9;4;3;-;1;2;-;6;6;75
"421130 NAVEGANTES";35;23;37;26;40;46;46;39;42;60;51;53;40;36;48;48;82;39;791
"421140 NOVA ERECHIM";15;10;4;11;11;7;9;11;7;8;14;11;5;15;5;14;13;5;175
"421145 NOVA ITABERABA";5;4;5;3;9;7;18;7;8;4;9;5;6;5;7;1;13;10;126
"421150 NOVA TRENTO";11;16;21;16;7;3;10;12;5;6;3;5;11;15;24;23;12;13;213
"421160 NOVA VENEZA";34;29;22;23;29;37;43;17;8;13;8;7;11;9;13;14;23;29;369
"421165 NOVO HORIZONTE";2;5;2;2;4;2;1;3;9;9;7;14;8;5;4;5;4;5;91
"421170 ORLEANS";36;55;59;68;80;98;100;55;53;63;63;54;32;48;90;112;174;132;1372
"421175 OTACILIO COSTA";60;26;31;54;61;46;25;32;26;27;23;35;26;30;32;92;188;124;938
"421180 OURO";25;31;28;36;28;24;16;24;23;20;28;16;27;16;32;8;10;5;397
"421185 OURO VERDE";3;3;3;3;6;3;4;-;2;3;4;5;5;17;9;6;8;11;95
"421187 PAIAL";3;3;2;1;3;4;4;5;4;9;8;6;4;3;2;1;4;5;71
"421189 PAINEL";21;8;9;12;16;19;13;20;13;9;5;3;4;1;2;9;16;9;189
"421190 PALHOCA";558;425;498;505;523;468;500;505;538;557;638;594;456;481;591;714;860;650;10061
"421200 PALMA SOLA";18;10;7;11;9;9;26;25;36;57;41;23;16;18;17;22;27;16;388
"421205 PALMEIRA";11;29;24;21;26;23;14;13;18;7;6;3;7;5;10;22;41;30;310
"421210 PALMITOS";64;74;63;46;62;70;56;62;58;79;76;75;54;50;54;81;101;59;1184
"421220 PAPANDUVA";18;18;13;33;73;82;125;125;122;180;166;165;116;92;92;88;69;143;1720
"421223 PARAISO";10;13;10;11;9;10;9;12;10;14;4;11;6;18;22;18;21;7;215
"421225 PASSO DE TORRES";32;23;29;33;42;41;46;36;30;34;42;47;23;30;15;35;18;12;568
"421227 PASSOS MAIA";8;7;10;11;14;23;13;15;8;12;6;6;6;15;10;18;17;14;213
"421230 PAULO LOPES";14;12;15;18;22;9;11;18;13;5;12;14;12;12;16;18;18;14;253
"421240 PEDRAS GRANDES";15;14;8;10;11;9;10;12;8;8;3;11;4;3;4;12;8;9;159
"421250 PENHA";19;15;17;19;17;15;19;22;21;19;16;25;21;22;19;29;29;24;368
"421260 PERITIBA";5;9;8;10;8;4;10;8;12;9;6;6;10;5;5;4;14;4;137
"421265 PESCARIA BRAVA";-;-;-;-;-;-;4;13;9;14;13;34;18;22;37;39;38;28;269
"421270 PETROLANDIA";15;20;19;26;16;15;11;6;8;12;8;33;18;7;10;7;18;8;257
"421280 BALNEARIO PICARRAS";25;19;16;28;15;20;30;28;24;22;18;16;16;15;29;41;26;27;415
"421290 PINHALZINHO";28;34;30;22;26;22;22;22;20;32;38;30;21;31;42;36;32;28;516
"421300 PINHEIRO PRETO";12;7;2;7;9;3;4;2;2;5;9;3;6;8;17;19;5;2;122
"421310 PIRATUBA";35;30;24;34;23;19;14;11;10;12;10;12;5;5;12;11;15;13;295
"421315 PLANALTO ALEGRE";14;11;8;3;7;3;5;8;5;6;5;2;5;7;1;5;4;3;102
"421320 POMERODE";13;7;13;31;48;46;48;54;113;104;78;52;53;55;27;116;112;126;1096
"421330 PONTE ALTA";16;20;24;23;22;35;13;13;18;22;15;5;2;7;4;6;28;19;292
"421335 PONTE ALTA DO NORTE";12;7;4;9;9;26;9;11;3;21;13;9;8;12;21;24;30;16;244
"421340 PONTE SERRADA";28;41;45;37;47;63;72;90;76;82;60;90;67;42;44;64;65;46;1059
"421350 PORTO BELO";16;12;15;15;9;18;13;8;17;13;26;30;29;24;28;44;37;31;385
"421360 PORTO UNIAO";14;10;5;24;26;48;51;51;37;38;43;60;51;22;11;6;11;12;520
"421370 POUSO REDONDO";36;43;60;70;57;52;53;53;71;72;75;77;73;99;109;152;147;103;1402
"421380 PRAIA GRANDE";41;43;28;30;25;29;52;76;80;113;142;158;41;38;56;71;58;56;1137
"421390 PRESIDENTE CASTELLO BRANCO";15;5;10;3;6;1;6;12;12;18;15;8;6;3;9;3;-;-;132
"421400 PRESIDENTE GETULIO";20;26;23;12;26;36;35;43;58;21;23;52;51;73;90;138;114;101;942
"421410 PRESIDENTE NEREU";6;4;6;5;5;8;3;5;6;7;4;5;9;9;7;11;9;15;124
"421415 PRINCESA";11;5;9;9;6;4;7;9;3;8;8;12;2;1;-;5;7;4;110
"421420 QUILOMBO";31;27;41;42;45;40;60;54;58;46;32;38;52;38;39;48;39;30;760
"421430 RANCHO QUEIMADO";4;4;3;1;1;4;13;5;8;6;2;3;2;1;9;1;10;2;79
"421440 RIO DAS ANTAS";22;17;13;19;14;31;34;38;27;47;25;23;23;30;22;23;19;14;441
"421450 RIO DO CAMPO";21;19;5;15;15;10;14;14;8;11;3;29;53;46;37;47;44;42;433
"421460 RIO DO OESTE";30;34;14;37;38;39;38;44;43;37;26;37;43;30;43;62;62;46;703
"421470 RIO DOS CEDROS";3;5;3;3;5;8;2;-;4;8;40;42;15;17;25;44;61;39;324
"421480 RIO DO SUL";375;352;306;274;291;251;203;163;197;196;181;219;281;254;239;284;289;234;4589
"421490 RIO FORTUNA";10;2;9;8;21;7;5;3;2;5;9;5;2;4;5;7;3;3;110
"421500 RIO NEGRINHO";22;13;66;41;24;40;52;70;74;89;76;41;12;20;30;43;43;46;802
"421505 RIO RUFINO";3;10;9;17;12;13;8;5;3;3;-;1;1;-;5;4;4;12;110
"421507 RIQUEZA";23;15;22;21;20;22;13;21;28;27;17;28;18;15;20;37;28;18;393
"421510 RODEIO";25;19;25;15;27;26;10;12;18;22;27;26;14;6;32;40;72;62;478
"421520 ROMELANDIA";14;6;16;11;7;8;12;19;15;20;15;17;9;15;3;9;14;12;222
