 Morbidade Hospitalar do SUS - por local de residência - Brasil
Internações por Município e Ano processamento
Capítulo CID-10: V.   Transtornos mentais e comportamentais
Período:Jan/2008-Set/2025
"Município";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"Total"
"150085 ANAPU";1;1;5;8;2;2;5;4;-;6;-;3;3;1;1;3;2;1;48
"150090 AUGUSTO CORREA";4;1;6;6;7;5;11;3;21;31;21;24;25;34;47;65;40;30;381
"150095 AURORA DO PARA";4;5;8;6;15;19;18;3;1;2;3;1;8;10;16;9;6;3;137
"150100 AVEIRO";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;2
"150110 BAGRE";-;2;-;1;1;1;2;4;2;4;-;-;3;-;1;-;-;7;28
"150120 BAIAO";-;1;2;4;1;10;4;2;3;3;5;4;11;3;14;5;3;1;76
"150125 BANNACH";4;1;3;2;1;-;-;-;-;-;-;3;3;4;8;4;5;2;40
"150130 BARCARENA";9;29;30;36;42;37;31;50;46;37;30;48;72;58;66;75;86;72;854
"150140 BELEM";631;599;820;771;668;974;1098;1162;1042;1047;1123;1057;1146;1267;1197;1399;1396;1206;18603
"150145 BELTERRA";-;3;8;3;6;3;1;3;-;-;1;-;2;2;2;-;-;2;36
"150150 BENEVIDES";352;353;289;281;180;208;217;96;74;39;34;34;50;46;30;62;75;51;2471
"150157 BOM JESUS DO TOCANTINS";4;1;2;1;1;2;3;5;2;14;12;6;10;11;3;2;4;1;84
"150160 BONITO";1;1;4;1;1;4;2;6;6;5;3;2;3;5;5;8;18;9;84
"150170 BRAGANCA";5;12;14;30;22;25;22;24;86;168;142;182;226;252;311;242;200;166;2129
"150172 BRASIL NOVO";4;-;8;9;4;2;-;-;4;1;-;-;-;-;-;-;2;-;34
"150175 BREJO GRANDE DO ARAGUAIA";-;1;6;3;2;1;-;-;-;1;-;2;-;-;-;-;-;-;16
"150178 BREU BRANCO";29;51;32;24;13;1;-;-;-;4;-;1;1;2;13;9;13;18;211
"150180 BREVES";2;3;6;16;25;10;31;51;30;56;52;60;29;33;35;65;78;41;623
"150190 BUJARU";-;2;5;13;7;9;8;13;10;11;8;5;6;7;8;11;10;9;142
"150195 CACHOEIRA DO PIRIA";8;1;5;5;7;6;3;9;7;8;3;11;5;1;9;23;16;16;143
"150200 CACHOEIRA DO ARARI";-;-;2;-;1;-;7;1;1;2;2;4;-;3;3;1;5;1;33
"150210 CAMETA";6;7;15;13;24;15;23;12;18;27;27;22;25;11;19;27;33;22;346
"150215 CANAA DOS CARAJAS";-;2;6;6;2;2;4;4;4;7;8;9;10;12;11;26;59;52;224
"150220 CAPANEMA";8;14;22;11;11;13;16;23;23;40;37;36;41;33;85;82;59;51;605
"150230 CAPITAO POCO";22;8;20;16;12;12;24;24;25;21;22;25;9;25;37;20;21;22;365
"150240 CASTANHAL";21;40;51;35;44;63;82;65;52;42;45;68;79;77;88;102;91;86;1131
"150250 CHAVES";-;-;-;-;1;1;-;-;-;2;1;-;1;1;-;1;-;-;8
"150260 COLARES";1;2;3;-;1;1;1;3;4;6;1;3;2;4;3;-;1;2;38
"150270 CONCEICAO DO ARAGUAIA";19;9;11;9;14;6;4;6;4;4;4;10;4;2;2;3;4;4;119
"150275 CONCORDIA DO PARA";3;3;5;3;7;2;8;11;18;7;16;14;5;10;23;17;15;12;179
"150276 CUMARU DO NORTE";2;-;1;4;1;1;2;3;1;-;3;4;-;2;-;1;-;1;26
"150277 CURIONOPOLIS";5;2;6;10;2;8;2;8;7;5;6;16;7;11;10;7;9;5;126
"150280 CURRALINHO";1;2;3;1;1;5;8;1;1;1;15;4;7;3;15;18;7;16;109
"150290 CURUCA";3;5;6;11;7;8;12;12;10;13;8;8;8;12;10;14;15;12;174
"150293 DOM ELISEU";2;5;10;10;6;8;13;7;1;6;7;5;4;13;13;4;11;10;135
"150295 ELDORADO DOS CARAJAS";2;4;3;5;5;5;2;-;-;5;3;2;5;2;6;9;8;21;87
"150300 FARO";-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;3
